Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00102621146286391","-0,00508584464388768","-0,0188046052722118",0,0,0,"1,67990502595448","0,00257193129712044","3,55430051787009E-08","1,6706892369537E-09","0,0025903031252896","6,41265575811204E-08","0,00467566709892528",0,0,0,0,0,0,package://Hexa_urdf/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/base_link.STL,,Hexa_Nov_2022-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Propeller1,"-3,26474692807777E-07","0,00439680434131268","-1,53808227543184E-08",0,0,0,"0,00751257355648407","1,74304413652826E-05","1,49737996578977E-11","-1,55537949568054E-06","1,77025863093851E-05","4,04498554041808E-11","3,33965232184549E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller1.STL,,APC 8X3.8 Slow Flyer-6,Origin_Propeller1,Axis_Propeller1,Propeller1,continuous,"-0,12757247787632","-0,220931255442771","0,0325079324936686","1,5707963267949",0,0,base_link,0,1,0,,,,,,,,,,,,
Propeller2,"-3,28623572909414E-07","0,00439679150925019","-6,51437577161518E-07",0,0,0,"0,00751263614529959","1,74309820571611E-05","1,49424727304143E-11","-1,55538106683582E-06","1,77031266704762E-05","2,91143150409736E-11","3,33965410387138E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller2.STL,,APC 8X3.8 Slow Flyer-1,Origin_Propeller2,Axis_Propeller2,Propeller2,continuous,"-0,255118318641588","1,5378943236248E-05","0,0325079324936686","1,5707963267949",0,0,base_link,0,1,0,,,,,,,,,,,,
Propeller3,"-3,28267353771894E-07","0,00439679224022817","-6,12670876226629E-07",0,0,0,"0,00751263238021885","1,74309591882528E-05","1,49387152819401E-11","-1,55538092886439E-06","1,77031038068463E-05","2,9487135387314E-11","3,33965407479089E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller3.STL,,APC 8X3.8 Slow Flyer-2,Origin_Propeller3,Axis_Propeller3,Propeller3,continuous,"-0,127545840765268","0,220946634386007","0,0325079324936686","1,5707963267949",0,0,base_link,0,1,0,,,,,,,,,,,,
Propeller4,"-3,2850210893165E-07","0,0043968169140178","-6,51248902777679E-07",0,0,0,"0,00751252204498336","1,7429921886232E-05","1,49383513642947E-11","-1,55537872725387E-06","1,77020670481701E-05","2,9107684248315E-11","3,33965010652423E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller4.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller4.STL,,APC 8X3.8 Slow Flyer-3,Origin_Propeller4,Axis_Propeller4,Propeller4,continuous,"0,127580369515376","0,220925411722318","0,0325079324936686","1,5707963267949",0,"0,0353318344323685",base_link,0,1,0,,,,,,,,,,,,
Propeller5,"-3,28623527057204E-07","0,0043967915092662","-6,51437324510765E-07",0,0,0,"0,00751263614541705","1,74309820571806E-05","1,49424749635846E-11","-1,55538106684497E-06","1,77031266704956E-05","2,91143094346732E-11","3,33965410382781E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller5.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller5.STL,,APC 8X3.8 Slow Flyer-4,Origin_Propeller5,Axis_Propeller5,Propeller5,continuous,"0,255118318641588","-1,53789432341404E-05","0,0325079324936686","1,5707963267949",0,0,base_link,0,1,0,,,,,,,,,,,,
Propeller6,"-3,28285385514659E-07","0,00439679222430978","-6,12759626705817E-07",0,0,0,"0,007512632349858","1,74309591907559E-05","1,49392924115752E-11","-1,55538092682559E-06","1,77031038090761E-05","2,94877500956035E-11","3,33965406357289E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller6.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Propeller6.STL,,APC 8X3.8 Slow Flyer-5,Origin_Propeller6,Axis_Propeller6,Propeller6,continuous,"0,12755","-0,22095","0,032508","1,5708",0,0,base_link,0,1,0,,,,,,,,,,,,
Spur_gear,"-0,00249999999999999","-1,61590812403835E-17","1,17671786182075E-19",0,0,0,"0,00162138867057304","2,49625856019169E-07","1,00819144939275E-23","5,40764150529042E-25","1,28190821073278E-07","-8,77822026835157E-23","1,28190821073277E-07",0,0,0,0,0,0,package://Hexa_urdf/meshes/Spur_gear.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Spur_gear.STL,,spur_gear_servo-1,Origin_Spur_gear,Axis_Spur_gear,Spur_gear,continuous,0,0,"-0,077","1,5708","-1,5708",0,base_link,1,0,0,,,,,,,,,,,,
Spur_rack1,"-0,0636831057761312","0,0228058904998909","-0,0335118083435153",0,0,0,"0,0397845645111195","5,04475177999414E-05","1,64683468841985E-06","-2,94988196511606E-06","2,23831113476059E-05","1,51780907101343E-06","3,67617732004021E-05",0,0,0,0,0,0,package://Hexa_urdf/meshes/Spur_rack1.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Spur_rack1.STL,,Rack_spur-2,Origin_Spur_rack1,Axis_Spur_rack1,Spur_rack1,prismatic,"-0,00600000000000002",0,"0,024","-1,5707963267949",0,"-1,5707963267949",Spur_gear,1,0,0,0,0,0,0,,,,,,,,
Spur_rack2,"-0,0636831057761313","0,0228058904998909","-0,0335118083435153",0,0,0,"0,0397845645111194","5,04475177999414E-05","1,64683468841988E-06","-2,94988196511607E-06","2,23831113476058E-05","1,51780907101344E-06","3,6761773200402E-05",0,0,0,0,0,0,package://Hexa_urdf/meshes/Spur_rack2.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://Hexa_urdf/meshes/Spur_rack2.STL,,Rack_spur-1,Origin_Spur_rack2,Axis_Spur_rack2,Spur_rack2,prismatic,"-0,00600000000000001",0,"-0,024","1,5707963267949",0,"1,5707963267949",Spur_gear,1,0,0,0,0,0,0,,,,,,,,
